id,title,genre,year,rating,director,cast,plot,poster_url,imdb_id,tmdb_id,budget,revenue,runtime,popularity,vote_count,created_at,updated_at,genre_encoded
19995,Avatar,Action,2009,7.2,James Cameron,"[""Sam Worthington"", ""Zoe Saldana"", ""Sigourney Weaver"", ""Stephen Lang"", ""Michelle Rodriguez""]","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",https://image.tmdb.org/t/p/w500/tmdb_19995.jpg,tt0019995,19995,237000000,2787965087,162,150.437577,11800,2025-10-26T21:46:28.890728,,0
285,Pirates of the Caribbean: At World's End,Adventure,2007,6.9,Gore Verbinski,"[""Johnny Depp"", ""Orlando Bloom"", ""Keira Knightley"", ""Stellan Skarsgård"", ""Chow Yun-fat""]","Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",https://image.tmdb.org/t/p/w500/tmdb_285.jpg,tt0000285,285,300000000,961000000,169,139.082615,4500,2025-10-26T21:46:28.890728,,1
206647,Spectre,Action,2015,6.3,Sam Mendes,"[""Daniel Craig"", ""Christoph Waltz"", ""Léa Seydoux"", ""Ralph Fiennes"", ""Monica Bellucci""]","A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",https://image.tmdb.org/t/p/w500/tmdb_206647.jpg,tt0206647,206647,245000000,880674609,148,107.376788,4466,2025-10-26T21:46:28.890728,,0
49026,The Dark Knight Rises,Action,2012,7.6,Christopher Nolan,"[""Christian Bale"", ""Michael Caine"", ""Gary Oldman"", ""Anne Hathaway"", ""Tom Hardy""]","Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",https://image.tmdb.org/t/p/w500/tmdb_49026.jpg,tt0049026,49026,250000000,1084939099,165,112.31295,9106,2025-10-26T21:46:28.890728,,0
49529,John Carter,Action,2012,6.1,Andrew Stanton,"[""Taylor Kitsch"", ""Lynn Collins"", ""Samantha Morton"", ""Willem Dafoe"", ""Thomas Haden Church""]","John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",https://image.tmdb.org/t/p/w500/tmdb_49529.jpg,tt0049529,49529,260000000,284139100,132,43.926995,2124,2025-10-26T21:46:28.890728,,0
559,Spider-Man 3,Fantasy,2007,5.9,Sam Raimi,"[""Tobey Maguire"", ""Kirsten Dunst"", ""James Franco"", ""Thomas Haden Church"", ""Topher Grace""]","The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",https://image.tmdb.org/t/p/w500/tmdb_559.jpg,tt0000559,559,258000000,890871626,139,115.699814,3576,2025-10-26T21:46:28.890728,,2
38757,Tangled,Animation,2010,7.4,Byron Howard,"[""Zachary Levi"", ""Mandy Moore"", ""Donna Murphy"", ""Ron Perlman"", ""M.C. Gainey""]","When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",https://image.tmdb.org/t/p/w500/tmdb_38757.jpg,tt0038757,38757,260000000,591794936,100,48.681969,3330,2025-10-26T21:46:28.890728,,3
99861,Avengers: Age of Ultron,Action,2015,7.3,Joss Whedon,"[""Robert Downey Jr."", ""Chris Hemsworth"", ""Mark Ruffalo"", ""Chris Evans"", ""Scarlett Johansson""]","When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",https://image.tmdb.org/t/p/w500/tmdb_99861.jpg,tt0099861,99861,280000000,1405403694,141,134.279229,6767,2025-10-26T21:46:28.890728,,0
767,Harry Potter and the Half-Blood Prince,Adventure,2009,7.4,David Yates,"[""Daniel Radcliffe"", ""Rupert Grint"", ""Emma Watson"", ""Tom Felton"", ""Michael Gambon""]","As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",https://image.tmdb.org/t/p/w500/tmdb_767.jpg,tt0000767,767,250000000,933959197,153,98.885637,5293,2025-10-26T21:46:28.904504,,1
209112,Batman v Superman: Dawn of Justice,Action,2016,5.7,Zack Snyder,"[""Ben Affleck"", ""Henry Cavill"", ""Gal Gadot"", ""Amy Adams"", ""Jesse Eisenberg""]","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",https://image.tmdb.org/t/p/w500/tmdb_209112.jpg,tt0209112,209112,250000000,873260194,151,155.790452,7004,2025-10-26T21:46:28.905525,,0
